Caption,Image Link 1,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Image URLs,Likes,Media Count,Number of Comments,Post Owner
“He Quietly Makes Fashion Brands Pop” in The New York Times Sunday paper by Alex Vadukul. Honored to work with @ericwrennoffice over the past five years.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3320831415263411726_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3320831415212883603_17952249.jpg,,,,,,3075,2,16,bode
"The Bode Cashmere Polo in our Women’s Store located at 79 Worth Street, Manhattan. Made in Italy of fine cashmere yarn, the luxurious knit is available in a dozen colors, online and in our New York and Los Angeles stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3320059368803332763_17952249.jpg,,,,,,,809,1,1,bode
"Hannah wears the Patent Opera Pump in the garden of our Melrose Store. Inspired by traditional men’s evening dress slippers, the shoes are made in Italy of black patent leather and feature a grosgrain bow across the vamp. Available in sizes 36-47 online and in our New York and Los Angeles stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3319377519240110138_17952249.jpg,,,,,,,1506,1,6,bode
The Jockey Dot Short Sleeve Shirt is made of a crisp cotton voile and features illustrations of a horse and equestrian boots among a blue-and-white oversized dot pattern. Available online and at our New York and Los Angeles stores.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3318630861262914407_17952249.jpg,,,,,,,2752,1,8,bode
"We are pleased to announce the opening of Bode at Nordstrom. The 2,000 square-foot pop-up marks the debut of Nordstrom’s new immersive concept space, The Corner, and features an exclusive selection of one-of-a-kind pieces, Senior Cords, and men’s and women’s collection styles. Located at the Nordstrom flagship in New York City, on the corner of 57th and Broadway. Open 10am-8pm Mondays-Saturdays and 11am-7pm Sundays through April 7th.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3317942418673238071_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3317942418623134188_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3317942418623056334_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3317942418614542388_17952249.jpg,,,,11661,4,130,bode
New women’s one-of-a-kind at Bode LA. 7007 Melrose Ave.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3317244315612160470_17952249.jpg,,,,,,,1730,1,3,bode
"Bode Recreation
FW24",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3315817897372132322_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3315817897137121377_17952249.jpg,,,,,,2243,2,14,bode
Thank you to all of our guests who joined us at Bode LA last night! I was honored to discuss @theworldofinteriors with the talented @tylersphotos and @greenriverprojectllc. Thank you @hamishbowles and @thessaly for bringing this feature to life. March issue is on newsstands now!,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3314404101453674482_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3314404101453648873_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3314404101453537301_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3314404101453534989_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3314404101445313085_17952249.jpg,,,3552,5,12,bode
"Emily Ratajkowski wearing the Lamé Lace Dress. Available online and at the Bode Women’s Store located at 79 Worth Street, New York.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3314373708855762037_17952249.jpg,,,,,,,4835,1,20,bode
"New Yorkers from Atlanta in Los Angeles. Excited for my conversation with Tyler tonight❣️

The Bode LA store will close today at 3:00. Opening from 6:00-8:00 with a talk at 6:30 on The World of Interiors feature “Material Evidence”",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3313632369901958694_17952249.jpg,,,,,,,2160,1,8,bode
