Caption,Image Link 1,Image Link 10,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Image Link 7,Image Link 8,Image Link 9,Image URLs,Likes,Media Count,Number of Comments,Post Owner
"Where the sky meets the earth. 
 
In this new setting to the FARM Rio Spring Summer 24 Campaign, our creativity played with the infinite, infusing soft femininity into the barren landscapes, meandering through clouds mirrored in water surfaces. 
 
Discover our new Spring Summer 24 campaign at the link in bio.",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3341978269300453858_7900577635.mp4,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339677156928828115_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339776166268234473_7900577635.mp4,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339776166268112743_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339776166268109094_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339776166251359870_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339776166209491689_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339776166209274480_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339677156987496203_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339677156962292465_7900577635.jpg,,6097,10,105,farmrio
"There’s an undeniable magic in witnessing nature awaken from her deep quietness, adorning the world in flowers once more. The gentle energy of Spring inspires a profound affection for life’s simplest moments of happiness. 

To tell the visual stories of our Spring Summer 24, we embarked on a journey to Bolivia, South America, seeking a vast and striking stage capable of embracing our natural maximalism. 

Discover now our new Spring Summer 24 campaign at the link in bio.",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339677156886884957_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339674883330728920_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339674883330670853_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339674883288839303_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339674883288784367_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339674883280468495_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339434273289702447_358870562.mp4,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339085075562878334_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339085075562760846_7900577635.jpg,,6638,9,95,farmrio
"When you reflect on it, personal style echoes nature’s creative spirit in endless expressions. Sounds, scents, and colors blooming side by side are an invitation to beauty as a pathway to togetherness. Discover our new Spring Summer 24 campaign and feel the spring energy straight into your wardrobe - link in bio.",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339085075529325503_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339085075529143595_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3339085075520845895_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3338336386980264583_7900577635.mp4,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3336884552457760808_7900577635.mp4,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333792969550173892_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333792969541797473_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333792969524806020_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333792969508256648_7900577635.jpg,,5337,9,78,farmrio
"Florals, graphics, stripes—these new prints will keep your head in the sky. Dream in color - link in bio.",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333779812395821462_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333779812345462057_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333779812328724376_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333779812303729595_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333779812278559835_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333779812261641930_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333779812261636750_7900577635.jpg,,,,199,7,3,farmrio
How to style the Dark Green Guipure Long Sleeve Maxi Dress with @mariaffrazao #FARMRioLovers,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333779812261615127_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333778948201493981_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333778947152926381_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333778947144510634_7900577635.jpg,,,,,,,686,4,8,farmrio
"“Is there anything more beautiful than femininity?”
 
Founder @_katia_barros and her admiration of woman and their femininity is what brought us here.
 
Our Spring 24 campaign is an homage to beauty, strength and nature. Find out more at the link in bio.",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333778947127862456_7900577635.jpg,,,,,,,,,,,1265,1,123,farmrio
"We blossomed London Underground. 🌺 

Discover our new Spring Summer 24 campaign at the link in bio.",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333778947127857278_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333778947127857182_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333778947119300673_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333776911892127923_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333776911883691278_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333200793518687505_7900577635.jpg,,,,,2309,6,26,farmrio
Mid-season essentials designed to bring you joy and comfort with ease. Get inspired by our #FARMRioLovers.,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333200793476686963_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333200793460002883_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333200793459965293_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333200012237156774_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333200012220549250_7900577635.jpg,,,,,,2606,5,11,farmrio
"Part 2 of “what I hope the guests at our wedding will wear” 🌹
Annonce @farmrio 🌞 ps the yellow part of the dress was dyed in the sun - how cute is that? 🫶🏼",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333200012212113800_7900577635.jpg,,,,,,,,,,,10984,1,194,farmrio
"Not-so-classic statement trench with a tropical feel. And yet brighter things are coming. Our Spring Summer 24 video campaign is arriving soon. 

Stay tuned!",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333200012186953741_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333200012178453232_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333200012178405660_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3333200012144815768_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3332526589492229302_7900577635.mp4,,,,,,6191,5,64,farmrio
