Caption,Image Link 1,Image Link 10,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Image Link 7,Image Link 8,Image Link 9,Image URLs,Likes,Media Count,Number of Comments,Post Owner
"Norlha’s Spring Summer scarves and capsule clothes collection for 2024 borrows inspiration from the prayer flags of laptse as they succumb to the elements, symbolising the synergistic relationship between people and the natural world on the plateau. 
Link in bio to collection ~",/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3341748164798618821_1580798609.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3341748164404440138_1580798609.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3341748164404363973_1580798609.jpg,,,,,,,,582,3,3,norlha_atelier
"Dollar སྒྲོལ་དཀར། & Dolma Tso སྒྲོལ་མ་འཚོ། in the Plateau ~ Air, or Lung, one of the four elements, is the source of the breath, life force, and energy of the body and mind.  This element is characterised by the sound of prayer flags fluttering in the wind on the Plateau ~",/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3338006836344431834_1580798609.jpg,,,,,,,,,,,1295,1,5,norlha_atelier
Pagpa Tso འཕགས་ཏེ། weaver at Norlha resting on our felt ocean blanket ~,/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3333729103904936413_1580798609.jpg,,,,,,,,,,,2723,1,10,norlha_atelier
"Namka Tsering ནམ་མཁའ་ཚེ་རིང་། and Lhamo Tashi ལྷ་མོ་བཀྲ་ཤིས in our Felt Ocean Bed Cover ~ this handfelted piece from 100% yak khullu can be used as a bed cover, sofa throw, wall hanging or picnic blanket. 

#handfelted #norlha #tibetanplateau",/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3331565962299199996_1580798609.jpg,,,,,,,,,,,952,1,4,norlha_atelier
"Norlha’s weaving section was our first, beginning in 2007 in a tent while the workshop was under construction. We began with 6 weavers and simple weaves under the guidance of Panch Anand, our Nepalese instructor. The section now comprises 45 artisans who work together in a highly coordinated fashion to produce as sophisticated pieces as shuttle looms can make.",/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3326434571135826275_1580798609.jpg,,,,,,,,,,,614,1,6,norlha_atelier
"Handspun Shepherd Scarf ~ A ruggedly soft yak khullu and sheep’s wool scarf. Its distinctive texture is created by a handspun yak wool weft, which is combined with a yak and sheep’s wool-blend warp. The sheep’s wool adds strength, while the yak khullu gives exceptional warmth.",/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3324286455666258060_1580798609.jpg,,,,,,,,,,,746,1,4,norlha_atelier
"Meaning of Norlha -  Nor is wealth, a word tied to the Buddhist concepts predominant in Tibetan culture, whose meaning can spell out infinite connotations and extensions that go far beyond material wealth. In the Tibetan ethos, the accumulation of positive deeds and the ensuing merit is weighed as seriously as that of collecting material wealth. Tibetans spend their lives preparing for the next, cultivating spiritual wealth to attain a positive rebirth, a predominant concern for all.

Nor can be translated as jewels or wealth, it’s also the word used in Tibet for yaks. Lha means God, which would give « the wealth of the Gods » or « the Gods of the yaks ».",/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3322066644064453071_1580798609.jpg,,,,,,,,,,,3157,1,7,norlha_atelier
"We are grateful for all the women working and supporting Norlha. Today we want to acknowledge and celebrate Kim Yeshi and her daughter Dechen, founders of Norlha. We are proud that 66% of our employees are women and we extend our gratitude to the women artisans and the women working in our team. 

‘ our work should equip
the next generation of women
to outdo us in every field
this is the legacy we’ll leave behind ‘

Progress - Rupi Kaur",/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3319237246965619530_1580798609.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3319237246957264452_1580798609.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3319237246957178291_1580798609.jpg,,,,,,,,897,3,12,norlha_atelier
"A felt mat in an old home in Ritoma ~ The felting method was simple, a process that involved water, soap or a similar binding agent and vigorous rolling. The result was a thick, dense and heavy fabric that was naturally water repellent. This was primarily used for mats, which were stacked upon a sleeping platform over a layer of sheep droppings, providing an isolating layer from the damp ground of the tent.",/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3317053566079887085_1580798609.jpg,,,,,,,,,,,567,1,2,norlha_atelier
Wandi བན་འདེ wearing our patch pocket overshirt made from 100% yak khulllu,/workspaces/SMA_Y_Bhutan/data/analysis/Norla Atelier IG Photos/3315505543046622602_1580798609.jpg,,,,,,,,,,,550,1,1,norlha_atelier
